Dataset Size,Bubble,Insertion,Merge
3600,111.606,37.1287,5.3273,
3600,109.325,36.6041,5.391,
3600,111.421,37.1946,5.2443,
3600,112.621,39.8729,5.4798,
3600,110.137,38.054,5.3843,
3600,111.254,37.2579,5.331,
3600,112.632,37.4311,5.3607,
3600,109.975,37.1999,5.377,
3800,124.102,41.8921,5.6251,
3800,120.872,41.1289,5.6623,
3800,122.685,41.3034,5.6131,
3800,122.833,40.7949,5.6721,
3800,123.206,41.0988,5.5641,
3800,120.503,40.7841,5.527,
3800,122.183,40.9771,5.6122,
3800,122.15,42.1687,5.5984,
3800,124.836,41.6119,5.7107,
3800,123.632,42.0434,5.572,
4000,137.536,45.4997,5.7741,
4000,134.739,45.8254,6.0828,
4000,133.853,45.2029,5.7825,
4000,136.855,44.4561,5.8775,
4000,134.472,46.4016,5.7944,
4000,135.858,44.7091,5.7198,
4000,135.448,45.5756,5.808,
4000,136.5,45.6848,5.8069,
4000,140.191,45.7254,5.7979,
4000,137.983,44.6618,5.8491,
4200,149.117,49.8426,6.2457,
4200,148.48,49.5643,6.1155,
4200,149.067,49.4538,6.0805,
4200,149.256,49.3304,6.1253,
4200,149.173,50.2953,6.241,
4200,151.145,49.7633,6.2807,
4200,147.175,51.0595,6.5915,
4200,150.625,50.2567,6.2165,
4200,153.072,50.6243,6.3957,
4200,151.13,51.2613,6.1803,
4400,161.959,54.7915,6.4275,
4400,162.489,53.6462,6.5066,
4400,163.028,56.0418,6.5564,
4400,161.775,54.6419,6.5573,
4400,164.667,54.8173,6.7721,
4400,165.885,54.7871,6.5634,
4400,164.679,53.9177,6.8583,
4400,162.404,55.4136,6.4497,
4400,163.21,54.7443,6.6177,
4400,160.036,55.0637,6.6237,
4600,179.043,59.6391,6.8193,
4600,179.464,58.9377,6.834,
4600,181.586,60.5398,6.9111,
4600,179.848,59.5656,6.9513,
4600,179.432,59.5632,6.8376,
4600,177.605,58.6107,6.9753,
4600,181.74,59.3828,6.9223,
4600,180.244,59.1887,7.2746,
4600,180.208,58.7387,6.9703,
4600,178.736,62.1015,7.1509,
4800,199.064,64.6426,7.5545,
4800,195.287,65.0344,7.1849,
4800,194.121,64.4468,7.2911,
4800,196.695,64.0263,7.0427,
4800,199.147,64.9506,7.1788,
4800,194.024,64.4584,7.0856,
4800,197.193,67.636,7.2614,
4800,198.089,63.7595,7.0251,
4800,194.083,64.3287,7.1623,
4800,198.668,63.8625,7.1159,
5000,208.287,71.596,7.5675,
5000,210.116,72.99,7.5859,
5000,211.911,69.6323,7.5955,
5000,217.758,69.394,7.493,
5000,208.475,71.0915,7.4373,
5000,212.146,70.0888,7.4803,
5000,210.22,70.2026,7.4749,
5000,219.736,69.829,7.8159,
5000,216.766,71.7483,7.6832,
5000,214.839,71.6046,7.5922,
5200,233.491,76.2003,7.8658,
5200,233.72,76.8389,7.8547,
5200,230.293,77.2947,7.9505,
5200,230.748,75.899,7.7855,
5200,234.624,77.4771,7.7099,
5200,231.981,79.2791,7.923,
5200,232.472,77.52,8.1647,
5200,233.98,77.3534,7.8664,
5200,239.83,82.6655,10.8968,
5200,235.059,78.2694,8.9641,
5400,247.736,83.4242,8.1608,
5400,248.307,86.3104,8.1945,
5400,252.819,86.5689,8.3615,
5400,251.17,82.8111,8.1729,
5400,251.037,82.664,8.1466,
5400,249.264,85.514,8.2287,
5400,248.543,84.1145,8.1178,
5400,247.39,84.2164,8.2581,
5400,251.123,84.1454,8.1831,
5400,252.515,82.9728,8.4603,
5600,274.865,88.2278,8.4635,
5600,266.127,90.529,8.4547,
5600,270.721,90.0927,8.4044,
5600,268.111,89.3059,8.5874,
5600,269.023,89.455,8.4492,
5600,272.09,88.5003,8.499,
5600,273.218,90.0859,8.4878,
5600,271.444,89.6866,8.511,
5600,268.363,90.4647,8.4041,
5600,270.803,86.9543,8.4921,
5800,284.223,97.2723,8.9523,
5800,292.924,97.55,8.7376,
5800,285.279,96.4633,8.5685,
5800,288.684,94.5735,8.7716,
5800,300.362,95.955,8.7678,
5800,289.853,99.421,8.8625,
5800,298.974,100.838,9.2688,
5800,288.247,96.5151,8.8022,
5800,287.236,95.7602,8.7664,
5800,287.542,94.3971,8.8198,
6000,312.156,105.119,9.2713,
6000,310.037,101.227,8.9276,
6000,307.843,109.217,9.2345,
6000,313.502,106.983,9.1184,
6000,318.603,103.61,9.0614,
6000,313.085,104.133,10.5255,
6000,309.948,105.745,9.1172,
6000,309.166,104.119,9.0812,
6000,310.697,100.001,8.9398,
6000,308.199,101.628,9.0626,
6200,332.866,112.379,9.3709,
6200,332.658,108.229,9.2791,
6200,325.679,108.363,9.3077,
6200,328.098,110.669,9.2646,
6200,325.081,109.246,9.4014,
6200,325.959,110.291,9.3154,
6200,325.75,117.098,9.4091,
6200,334.802,111.671,9.4122,
6200,335.345,108.775,9.3981,
6200,328.415,111.464,9.3736,
6400,350.093,125.321,9.8887,
6400,357.175,121.033,9.7847,
6400,352.163,116.016,9.6191,
6400,348.818,117.287,9.6992,
6400,358.375,118.232,9.9184,
6400,350.6,117.796,9.6409,
6400,349.735,121.016,14.5284,
6400,358.553,124.549,9.6649,
6400,362.778,126.729,9.6254,
6400,346.438,118.47,9.9303,
6600,377.852,124.062,9.8673,
6600,380.272,126.84,9.8328,
6600,374.562,124.864,9.8008,
6600,371.304,124.606,9.8205,
6600,374.061,121.838,10.0284,
6600,371.613,125.248,9.8335,
6600,374.545,122.133,9.6406,
6600,377.482,123.975,10.0147,
6600,372.861,128.465,9.9713,
6600,373.028,126.894,9.8078,
6800,394.032,134.232,10.2593,
6800,397.274,132.949,10.1232,
6800,391.153,130.806,9.8278,
6800,400.827,138.201,10.1485,
6800,403.477,133.864,10.1819,
6800,396.545,136.478,10.1238,
6800,386.557,131.842,10.3038,
6800,397.636,132.646,10.1935,
6800,402.011,134.242,10.1309,
6800,397.768,135.156,10.1072,
7000,423.167,141.4,10.1919,
7000,423.922,147.305,10.489,
7000,420.477,141.201,10.5169,
7000,422.282,141.298,10.4072,
7000,421.517,145.892,10.4134,
7000,418.914,140.593,10.4077,
7000,421.288,137.34,10.3345,
7000,422.518,135.018,10.2523,
7000,421.702,139.601,10.2452,
7000,420.726,138.31,10.3581,
7200,449.757,145.633,10.6667,
7200,464.453,160.799,11.2443,
7200,469.442,157.68,10.5341,
7200,464.611,152.008,14.8798,
7200,449.807,155.5,10.6673,
7200,444.67,148.73,10.696,
7200,440.28,150.55,10.7685,
7200,475.691,151.603,10.7199,
7200,462.392,148.368,10.5996,
7200,444.662,148.221,10.6497,
7400,469.014,162.802,10.8711,
7400,471.863,167.877,12.9122,
7400,482.18,176.935,17.4189,
7400,504.772,157.595,11.006,
7400,475.706,157.152,10.6223,
7400,472.996,159.948,10.9582,
7400,481.583,170.252,10.8897,
7400,467.372,154.697,10.9735,
7400,470.704,161.384,10.8675,
7400,474.844,156.35,10.9557,
7600,492.031,164.468,11.2093,
7600,488.183,163.622,11.1758,
7600,498.282,166.937,11.2023,
7600,491.111,161.994,11.0124,
7600,491.241,164.275,11.1693,
7600,511.906,171.302,11.1721,
7600,517.513,166.811,11.1509,
7600,488.189,163.079,11.7295,
7600,508.855,168.74,11.145,
7600,498.587,164.782,10.9978,
7800,517.238,177.32,11.4009,
7800,523.73,175.593,11.6034,
7800,525.202,183.602,11.4162,
7800,536.34,182.289,11.3883,
7800,528.319,180.558,11.1558,
7800,524.582,182.326,11.3625,
7800,542.512,185.612,11.1645,
7800,517.536,175.076,11.4826,
7800,530.106,173.874,11.415,
7800,530.311,178.203,11.5615,
8000,553.429,185.526,11.622,
8000,553.743,184.967,11.8035,
8000,555.509,185.449,11.6458,
8000,557.312,192.163,11.8948,
